"Board_Name", "Article_URL"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1556367284.A.314.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1556356996.A.1C4.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1556172407.A.A54.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1556004907.A.418.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1555997748.A.EC6.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1555577028.A.C4E.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1554892499.A.B37.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1560951698.A.DFD.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1560789886.A.D33.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1560643067.A.A3E.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1560527439.A.0B7.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1560512484.A.E38.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1560408517.A.6F9.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1559574574.A.C2A.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1559077218.A.5C8.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1558935493.A.790.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1558343140.A.3F6.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1558106974.A.E50.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1558098268.A.780.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1557146604.A.B0C.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1557141702.A.6A2.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1555846792.A.B10.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1555822371.A.8C5.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1555485000.A.EF8.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1555428472.A.5BC.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1555240124.A.F5C.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1554975460.A.20F.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1554886821.A.5B9.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1554819144.A.A8F.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1554705501.A.CF8.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1554468896.A.C98.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1554319747.A.4C0.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1553409189.A.998.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1553363842.A.267.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1553274128.A.FEA.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1552099286.A.940.html"
"Boy-Girl", "https://www.ptt.cc/bbs/Boy-Girl/M.1551806201.A.1C6.html"
